Materia,Voto,Crediti,Rarita
Analisi 1,0,12,1
Geometria,0,9,1
Algebra E Logica,0,6,1
Fondamenti Di Informatica,0,9,1
Analisi 2,0,6,1
Fisica 1,0,9,1
Laboratorio Di Automatica,0,6,1
Calcolatori Elettronici,0,9,1
Ingegneria Degli Algoritmi,0,9,1
Elettrotecnica,0,6,1
Fisica 2,0,6,1
Calcolo Di Probabilita E Statistica,0,6,1
Sistemi Operativi,0,6,1
Fondamenti Di Telecomunicazioni,0,9,1
Automi E Linguaggi,0,9,1
Fondamenti Di Elettronica,0,9,1
Ingegneria Del Software E Progettazione Wab,0,12,1
Basi Di Dati,0,9,1
Ricerca Operativa,0,6,1
Campi Elettromagnetici,0,9,1
Economia Applicata All Ingegneria,0,6,1
Ingegneria Di Internet E Web,0,9,1
Mobile Programming,0,6,1
Fondamendi Di Controlli,0,6,1
